Year,FIPS,Confirmed,Probable,Total
2009,42105,7.0,0.0,7.0
2009,42107,25.0,2.0,27.0
2009,42109,10.0,2.0,12.0
2009,42117,5.0,2.0,7.0
2009,42119,8.0,3.0,11.0
2009,42125,5.0,0.0,5.0
2009,42127,47.0,6.0,53.0
2009,42129,10.0,2.0,12.0
2009,42131,28.0,6.0,34.0
2009,42133,342.0,40.0,382.0
2009,44001,7.0,1.0,8.0
2009,44003,10.0,9.0,19.0
2009,44005,5.0,1.0,6.0
2009,44007,42.0,43.0,85.0
2009,44009,81.0,19.0,100.0
2009,47157,1.0,4.0,5.0
2009,48049,8.0,15.0,23.0
2009,48085,6.0,22.0,28.0
2009,48113,7.0,40.0,47.0
2009,48121,13.0,10.0,23.0
2009,48201,8.0,14.0,22.0
2009,48215,1.0,5.0,6.0
2009,48339,2.0,5.0,7.0
2009,48397,2.0,4.0,6.0
2009,48439,6.0,16.0,22.0
2009,48453,4.0,1.0,5.0
2009,49035,4.0,1.0,5.0
2009,50001,33.0,5.0,38.0
2009,50003,79.0,25.0,104.0
2009,50007,33.0,6.0,39.0
2009,50017,10.0,1.0,11.0
2009,50021,60.0,15.0,75.0
2009,50023,8.0,4.0,12.0
2009,50025,50.0,18.0,68.0
2009,50027,41.0,8.0,49.0
2009,51001,8.0,1.0,9.0
2009,51003,18.0,8.0,26.0
2009,51013,29.0,2.0,31.0
2009,51015,12.0,3.0,15.0
2009,51041,11.0,4.0,15.0
2009,51043,8.0,1.0,9.0
2009,51047,7.0,1.0,8.0
2009,51059,197.0,35.0,232.0
2009,51061,22.0,0.0,22.0
2009,51063,11.0,0.0,11.0
2009,51065,3.0,2.0,5.0
2009,51069,15.0,1.0,16.0
2009,51079,6.0,2.0,8.0
2009,51085,5.0,0.0,5.0
2009,51087,4.0,1.0,5.0
2009,51095,6.0,0.0,6.0
2009,51107,125.0,76.0,201.0
2009,51121,13.0,0.0,13.0
2009,51125,3.0,3.0,6.0
2009,51131,6.0,0.0,6.0
2009,51153,27.0,18.0,45.0
2009,51155,5.0,0.0,5.0
2009,51157,5.0,0.0,5.0
2009,51163,5.0,0.0,5.0
2009,51165,13.0,1.0,14.0
2009,51171,11.0,0.0,11.0
2009,51177,7.0,0.0,7.0
2009,51187,5.0,0.0,5.0
2009,51510,7.0,1.0,8.0
2009,51540,10.0,5.0,15.0
2009,51550,4.0,1.0,5.0
2009,51760,6.0,0.0,6.0
2009,54003,98.0,17.0,115.0
2009,54037,20.0,23.0,43.0
2009,54057,3.0,2.0,5.0
2009,54065,11.0,6.0,17.0
2009,55001,18.0,7.0,25.0
2009,55003,12.0,2.0,14.0
2009,55005,61.0,22.0,83.0
2009,55007,14.0,5.0,19.0
2009,55009,22.0,5.0,27.0
2009,55011,14.0,2.0,16.0
2009,55013,32.0,13.0,45.0
2009,55015,9.0,2.0,11.0
2009,55017,53.0,12.0,65.0
2009,55019,32.0,7.0,39.0
2009,55021,43.0,19.0,62.0
2009,55023,15.0,2.0,17.0
2009,55025,105.0,29.0,134.0
2009,55027,14.0,4.0,18.0
2009,55031,37.0,19.0,56.0
2009,55033,48.0,16.0,64.0
2009,55035,78.0,17.0,95.0
2009,55043,12.0,0.0,12.0
2009,55045,7.0,2.0,9.0
2009,55047,4.0,1.0,5.0
2009,55049,13.0,4.0,17.0
2009,55053,21.0,10.0,31.0
2009,55055,8.0,3.0,11.0
2009,55057,19.0,5.0,24.0
2009,55063,40.0,10.0,50.0
2009,55069,49.0,9.0,58.0
2009,55073,92.0,27.0,119.0
2009,55075,18.0,4.0,22.0
2009,55077,31.0,5.0,36.0
2009,55079,44.0,5.0,49.0
2009,55081,42.0,14.0,56.0
2009,55085,53.0,22.0,75.0
2009,55087,28.0,11.0,39.0
2009,55089,11.0,1.0,12.0
2009,55091,16.0,3.0,19.0
2009,55093,18.0,9.0,27.0
2009,55095,58.0,28.0,86.0
2009,55097,97.0,21.0,118.0
2009,55099,25.0,14.0,39.0
2009,55101,13.0,1.0,14.0
2009,55103,41.0,24.0,65.0
2009,55105,4.0,2.0,6.0
2009,55107,34.0,6.0,40.0
2009,55109,54.0,19.0,73.0
2009,55111,34.0,15.0,49.0
2009,55113,22.0,15.0,37.0
2009,55115,28.0,6.0,34.0
2009,55119,8.0,4.0,12.0
2009,55121,21.0,3.0,24.0
2009,55123,36.0,8.0,44.0
2009,55125,21.0,6.0,27.0
2009,55127,18.0,5.0,23.0
2009,55129,28.0,20.0,48.0
2009,55131,18.0,6.0,24.0
2009,55133,35.0,26.0,61.0
2009,55135,40.0,38.0,78.0
2009,55137,55.0,5.0,60.0
2009,55139,30.0,6.0,36.0
2009,55141,45.0,20.0,65.0
2010,06023,14.0,0.0,14.0
2010,06037,11.0,0.0,11.0
2010,06045,10.0,0.0,10.0
2010,06057,4.0,1.0,5.0
