Year,FIPS,0-19,20+,Suppressed,Unknown,Total
2009,27157,0.0,0.0,5.0,0.0,5.0
2009,27163,37.0,58.0,0.0,0.0,95.0
2009,27169,0.0,21.0,6.0,0.0,27.0
2009,27171,6.0,23.0,4.0,0.0,33.0
2009,33001,0.0,15.0,5.0,0.0,20.0
2009,33003,0.0,13.0,5.0,0.0,18.0
2009,33005,6.0,25.0,3.0,0.0,34.0
2009,33009,0.0,16.0,3.0,0.0,19.0
2009,33011,117.0,315.0,6.0,0.0,438.0
2009,33013,26.0,63.0,0.0,0.0,89.0
2009,33015,130.0,438.0,1.0,13.0,582.0
2009,33017,56.0,133.0,2.0,0.0,191.0
2009,33019,0.0,16.0,5.0,0.0,21.0
2009,34001,23.0,112.0,2.0,0.0,137.0
2009,34003,69.0,191.0,0.0,21.0,281.0
2009,34005,88.0,255.0,0.0,63.0,406.0
2009,34009,5.0,32.0,3.0,0.0,40.0
2009,34011,34.0,154.0,7.0,0.0,195.0
2009,34013,51.0,133.0,0.0,25.0,209.0
2009,34015,36.0,101.0,0.0,12.0,149.0
2009,34017,7.0,46.0,6.0,0.0,59.0
2009,34019,129.0,299.0,0.0,16.0,444.0
2009,34021,64.0,179.0,3.0,7.0,253.0
2009,34023,38.0,126.0,0.0,18.0,182.0
2009,34025,106.0,231.0,0.0,72.0,409.0
2009,34027,132.0,434.0,0.0,74.0,640.0
2009,34029,38.0,141.0,3.0,7.0,189.0
2009,34031,63.0,182.0,8.0,0.0,253.0
2009,34033,7.0,26.0,6.0,6.0,45.0
